respID,qID,altID,obsID,price,modelyear,powertrain,brand,Warranty,range,Mileage,ChargingStation,powertrain_Electric,powertrain_Gas,image
5,4,2,20,31000,2,Gas,Tesla,No,100,17000,NA,0,1,Tesla_Model_3.jpg
6,1,1,21,14000,4,Electric,Mercedes,Yes,100,39000,free,1,0,MB_EQ.jpg
6,1,2,21,21000,2,Gas,Tesla,Yes,150,24000,NA,0,1,Tesla_Model_3.jpg
6,2,1,22,5000,2,Electric,Mercedes,No,150,39000,discounted,1,0,MB_EQ.jpg
6,2,2,22,28000,3,Gas,Mercedes,No,200,18000,NA,0,1,MB_C300.jpg
6,3,1,23,32000,3,Electric,Mercedes,Yes,150,26000,paid,1,0,MB_EQ.jpg
6,3,2,23,13000,2,Gas,Tesla,No,250,41000,NA,0,1,Tesla_Model_3.jpg
6,4,1,24,10000,3,Electric,Nissan,No,150,8000,free,1,0,Nissan_Leaf.jpg
6,4,2,24,11000,1,Gas,Tesla,Yes,150,11000,NA,0,1,Tesla_Model_3.jpg
7,1,1,25,19000,1,Electric,Mercedes,Yes,250,18000,discounted,1,0,MB_EQ.jpg
7,1,2,25,47000,2,Gas,Mercedes,Yes,250,41000,NA,0,1,MB_C300.jpg
7,2,1,26,32000,3,Electric,Tesla,No,150,29000,paid,1,0,Tesla_Model_3.jpg
7,2,2,26,23000,3,Gas,Nissan,Yes,250,15000,NA,0,1,Nissan_Gas.jpg
7,3,1,27,10000,3,Electric,Nissan,Yes,200,14000,paid,1,0,Nissan_Leaf.jpg
7,3,2,27,12000,5,Gas,Nissan,Yes,250,47000,NA,0,1,Nissan_Gas.jpg
7,4,1,28,8000,1,Electric,Mercedes,No,200,41000,free,1,0,MB_EQ.jpg
7,4,2,28,28000,5,Gas,Mercedes,No,100,15000,NA,0,1,MB_C300.jpg
8,1,1,29,16000,5,Electric,Tesla,No,250,14000,discounted,1,0,Tesla_Model_3.jpg
8,1,2,29,26000,5,Gas,Nissan,Yes,200,48000,NA,0,1,Nissan_Gas.jpg
8,2,1,30,20000,1,Electric,Nissan,No,150,48000,discounted,1,0,Nissan_Leaf.jpg
8,2,2,30,23000,2,Gas,Nissan,No,100,29000,NA,0,1,Nissan_Gas.jpg
8,3,1,31,20000,3,Electric,Nissan,Yes,100,44000,paid,1,0,Nissan_Leaf.jpg
8,3,2,31,22000,2,Gas,Tesla,Yes,200,33000,NA,0,1,Tesla_Model_3.jpg
8,4,1,32,8000,5,Electric,Nissan,No,100,38000,free,1,0,Nissan_Leaf.jpg
8,4,2,32,41000,4,Gas,Mercedes,Yes,200,6000,NA,0,1,MB_C300.jpg
9,1,1,33,8000,1,Electric,Tesla,Yes,150,24000,free,1,0,Tesla_Model_3.jpg
9,1,2,33,46000,1,Gas,Mercedes,No,250,32000,NA,0,1,MB_C300.jpg
9,2,1,34,8000,5,Electric,Tesla,No,200,28000,discounted,1,0,Tesla_Model_3.jpg
9,2,2,34,17000,5,Gas,Nissan,Yes,100,27000,NA,0,1,Nissan_Gas.jpg
9,3,1,35,6000,4,Electric,Tesla,Yes,200,48000,free,1,0,Tesla_Model_3.jpg
9,3,2,35,17000,1,Gas,Mercedes,No,200,16000,NA,0,1,MB_C300.jpg
9,4,1,36,9000,4,Electric,Mercedes,No,250,21000,free,1,0,MB_EQ.jpg
9,4,2,36,21000,3,Gas,Nissan,No,100,38000,NA,0,1,Nissan_Gas.jpg
10,1,1,37,37000,5,Electric,Nissan,No,150,34000,discounted,1,0,Nissan_Leaf.jpg
10,1,2,37,35000,1,Gas,Nissan,Yes,200,27000,NA,0,1,Nissan_Gas.jpg
10,2,1,38,9000,5,Electric,Nissan,No,150,38000,discounted,1,0,Nissan_Leaf.jpg
10,2,2,38,5000,3,Gas,Tesla,No,200,35000,NA,0,1,Tesla_Model_3.jpg
10,3,1,39,15000,5,Electric,Mercedes,No,150,45000,free,1,0,MB_EQ.jpg
10,3,2,39,7000,3,Gas,Mercedes,Yes,250,14000,NA,0,1,MB_C300.jpg
10,4,1,40,5000,5,Electric,Mercedes,Yes,150,40000,free,1,0,MB_EQ.jpg
10,4,2,40,42000,5,Gas,Tesla,No,150,26000,NA,0,1,Tesla_Model_3.jpg
11,1,1,41,27000,3,Electric,Mercedes,No,150,14000,paid,1,0,MB_EQ.jpg
11,1,2,41,18000,1,Gas,Nissan,Yes,250,38000,NA,0,1,Nissan_Gas.jpg
11,2,1,42,49000,3,Electric,Nissan,No,250,8000,paid,1,0,Nissan_Leaf.jpg
11,2,2,42,19000,4,Gas,Tesla,No,250,17000,NA,0,1,Tesla_Model_3.jpg
11,3,1,43,41000,5,Electric,Mercedes,Yes,100,28000,free,1,0,MB_EQ.jpg
11,3,2,43,18000,1,Gas,Nissan,Yes,250,18000,NA,0,1,Nissan_Gas.jpg
11,4,1,44,10000,4,Electric,Nissan,No,100,42000,discounted,1,0,Nissan_Leaf.jpg
11,4,2,44,43000,5,Gas,Mercedes,Yes,200,41000,NA,0,1,MB_C300.jpg
12,1,1,45,43000,5,Electric,Tesla,Yes,150,24000,free,1,0,Tesla_Model_3.jpg
12,1,2,45,25000,5,Gas,Tesla,No,150,41000,NA,0,1,Tesla_Model_3.jpg
12,2,1,46,24000,4,Electric,Mercedes,Yes,100,50000,discounted,1,0,MB_EQ.jpg
12,2,2,46,40000,3,Gas,Nissan,Yes,150,46000,NA,0,1,Nissan_Gas.jpg
12,3,1,47,21000,2,Electric,Nissan,Yes,150,45000,discounted,1,0,Nissan_Leaf.jpg
12,3,2,47,50000,5,Gas,Nissan,Yes,250,20000,NA,0,1,Nissan_Gas.jpg
12,4,1,48,12000,2,Electric,Tesla,Yes,150,26000,free,1,0,Tesla_Model_3.jpg
12,4,2,48,42000,1,Gas,Tesla,No,150,16000,NA,0,1,Tesla_Model_3.jpg
13,1,1,49,14000,5,Electric,Mercedes,Yes,100,45000,discounted,1,0,MB_EQ.jpg
13,1,2,49,13000,5,Gas,Tesla,No,250,7000,NA,0,1,Tesla_Model_3.jpg
13,2,1,50,39000,1,Electric,Mercedes,Yes,100,9000,free,1,0,MB_EQ.jpg
13,2,2,50,26000,1,Gas,Mercedes,Yes,100,16000,NA,0,1,MB_C300.jpg
13,3,1,51,44000,2,Electric,Tesla,No,250,22000,free,1,0,Tesla_Model_3.jpg
13,3,2,51,6000,1,Gas,Tesla,Yes,200,40000,NA,0,1,Tesla_Model_3.jpg
13,4,1,52,29000,2,Electric,Tesla,No,150,11000,free,1,0,Tesla_Model_3.jpg
13,4,2,52,39000,2,Gas,Tesla,Yes,100,49000,NA,0,1,Tesla_Model_3.jpg
14,1,1,53,25000,2,Electric,Nissan,Yes,100,29000,discounted,1,0,Nissan_Leaf.jpg
14,1,2,53,13000,1,Gas,Nissan,No,100,43000,NA,0,1,Nissan_Gas.jpg
14,2,1,54,37000,2,Electric,Nissan,No,200,18000,discounted,1,0,Nissan_Leaf.jpg
14,2,2,54,40000,3,Gas,Nissan,Yes,250,13000,NA,0,1,Nissan_Gas.jpg
14,3,1,55,22000,2,Electric,Tesla,Yes,200,29000,free,1,0,Tesla_Model_3.jpg
14,3,2,55,13000,4,Gas,Mercedes,Yes,100,29000,NA,0,1,MB_C300.jpg
14,4,1,56,37000,5,Electric,Nissan,Yes,150,43000,discounted,1,0,Nissan_Leaf.jpg
14,4,2,56,46000,4,Gas,Nissan,No,150,31000,NA,0,1,Nissan_Gas.jpg
15,1,1,57,37000,5,Electric,Nissan,No,250,38000,free,1,0,Nissan_Leaf.jpg
15,1,2,57,44000,3,Gas,Tesla,No,100,21000,NA,0,1,Tesla_Model_3.jpg
15,2,1,58,36000,3,Electric,Mercedes,Yes,150,49000,paid,1,0,MB_EQ.jpg
15,2,2,58,43000,4,Gas,Nissan,Yes,250,40000,NA,0,1,Nissan_Gas.jpg
15,3,1,59,31000,4,Electric,Tesla,No,200,10000,paid,1,0,Tesla_Model_3.jpg
15,3,2,59,42000,2,Gas,Nissan,No,100,23000,NA,0,1,Nissan_Gas.jpg
15,4,1,60,39000,5,Electric,Mercedes,Yes,200,34000,free,1,0,MB_EQ.jpg
15,4,2,60,42000,3,Gas,Mercedes,Yes,100,50000,NA,0,1,MB_C300.jpg
16,1,1,61,30000,3,Electric,Nissan,No,250,16000,discounted,1,0,Nissan_Leaf.jpg
16,1,2,61,41000,1,Gas,Nissan,Yes,200,45000,NA,0,1,Nissan_Gas.jpg
16,2,1,62,49000,5,Electric,Tesla,No,250,34000,free,1,0,Tesla_Model_3.jpg
16,2,2,62,18000,3,Gas,Mercedes,No,100,29000,NA,0,1,MB_C300.jpg
16,3,1,63,38000,2,Electric,Mercedes,Yes,150,37000,paid,1,0,MB_EQ.jpg
16,3,2,63,10000,3,Gas,Mercedes,Yes,150,5000,NA,0,1,MB_C300.jpg
16,4,1,64,21000,2,Electric,Tesla,Yes,100,14000,discounted,1,0,Tesla_Model_3.jpg
16,4,2,64,48000,1,Gas,Tesla,Yes,100,40000,NA,0,1,Tesla_Model_3.jpg
17,1,1,65,40000,3,Electric,Nissan,Yes,200,35000,free,1,0,Nissan_Leaf.jpg
17,1,2,65,35000,3,Gas,Mercedes,Yes,200,30000,NA,0,1,MB_C300.jpg
17,2,1,66,6000,1,Electric,Tesla,No,150,34000,free,1,0,Tesla_Model_3.jpg
17,2,2,66,11000,2,Gas,Mercedes,No,200,37000,NA,0,1,MB_C300.jpg
17,3,1,67,28000,2,Electric,Mercedes,Yes,100,24000,paid,1,0,MB_EQ.jpg
17,3,2,67,46000,1,Gas,Mercedes,No,250,47000,NA,0,1,MB_C300.jpg
17,4,1,68,32000,1,Electric,Nissan,Yes,100,23000,discounted,1,0,Nissan_Leaf.jpg
17,4,2,68,41000,2,Gas,Mercedes,No,100,11000,NA,0,1,MB_C300.jpg
18,1,1,69,46000,2,Electric,Nissan,Yes,250,13000,discounted,1,0,Nissan_Leaf.jpg
18,1,2,69,37000,2,Gas,Nissan,No,100,35000,NA,0,1,Nissan_Gas.jpg
18,2,1,70,26000,1,Electric,Mercedes,No,150,28000,paid,1,0,MB_EQ.jpg
18,2,2,70,14000,1,Gas,Nissan,No,200,9000,NA,0,1,Nissan_Gas.jpg
18,3,1,71,21000,1,Electric,Tesla,Yes,150,28000,paid,1,0,Tesla_Model_3.jpg
18,3,2,71,46000,1,Gas,Nissan,No,150,37000,NA,0,1,Nissan_Gas.jpg
18,4,1,72,46000,1,Electric,Mercedes,Yes,150,27000,free,1,0,MB_EQ.jpg
18,4,2,72,18000,3,Gas,Mercedes,No,250,5000,NA,0,1,MB_C300.jpg
19,1,1,73,25000,2,Electric,Tesla,Yes,200,47000,discounted,1,0,Tesla_Model_3.jpg
19,1,2,73,44000,4,Gas,Tesla,No,150,33000,NA,0,1,Tesla_Model_3.jpg
19,2,1,74,16000,3,Electric,Nissan,Yes,100,40000,paid,1,0,Nissan_Leaf.jpg
19,2,2,74,41000,1,Gas,Nissan,No,200,47000,NA,0,1,Nissan_Gas.jpg
19,3,1,75,45000,4,Electric,Nissan,Yes,100,27000,paid,1,0,Nissan_Leaf.jpg
19,3,2,75,27000,3,Gas,Nissan,Yes,150,17000,NA,0,1,Nissan_Gas.jpg
19,4,1,76,24000,2,Electric,Nissan,No,200,19000,paid,1,0,Nissan_Leaf.jpg
19,4,2,76,35000,3,Gas,Mercedes,Yes,150,36000,NA,0,1,MB_C300.jpg
20,1,1,77,34000,3,Electric,Tesla,No,150,39000,paid,1,0,Tesla_Model_3.jpg
20,1,2,77,32000,5,Gas,Nissan,Yes,150,11000,NA,0,1,Nissan_Gas.jpg
20,2,1,78,21000,4,Electric,Nissan,No,200,31000,paid,1,0,Nissan_Leaf.jpg
20,2,2,78,27000,3,Gas,Nissan,Yes,100,37000,NA,0,1,Nissan_Gas.jpg
20,3,1,79,39000,5,Electric,Tesla,Yes,250,43000,paid,1,0,Tesla_Model_3.jpg
20,3,2,79,46000,4,Gas,Mercedes,Yes,200,46000,NA,0,1,MB_C300.jpg
20,4,1,80,32000,1,Electric,Mercedes,No,200,49000,discounted,1,0,MB_EQ.jpg
20,4,2,80,46000,5,Gas,Mercedes,No,250,26000,NA,0,1,MB_C300.jpg
21,1,1,81,38000,5,Electric,Tesla,Yes,250,19000,free,1,0,Tesla_Model_3.jpg
21,1,2,81,45000,2,Gas,Tesla,Yes,100,22000,NA,0,1,Tesla_Model_3.jpg
21,2,1,82,28000,4,Electric,Nissan,No,150,29000,discounted,1,0,Nissan_Leaf.jpg
21,2,2,82,25000,2,Gas,Nissan,No,200,46000,NA,0,1,Nissan_Gas.jpg
21,3,1,83,6000,4,Electric,Mercedes,Yes,250,10000,discounted,1,0,MB_EQ.jpg
21,3,2,83,26000,5,Gas,Tesla,No,100,35000,NA,0,1,Tesla_Model_3.jpg
21,4,1,84,18000,4,Electric,Tesla,No,150,39000,paid,1,0,Tesla_Model_3.jpg
21,4,2,84,37000,1,Gas,Mercedes,No,200,29000,NA,0,1,MB_C300.jpg
22,1,1,85,5000,1,Electric,Mercedes,Yes,250,48000,free,1,0,MB_EQ.jpg
22,1,2,85,12000,1,Gas,Mercedes,No,150,49000,NA,0,1,MB_C300.jpg
22,2,1,86,10000,4,Electric,Nissan,No,100,18000,discounted,1,0,Nissan_Leaf.jpg
22,2,2,86,50000,3,Gas,Mercedes,No,100,24000,NA,0,1,MB_C300.jpg
22,3,1,87,32000,5,Electric,Tesla,Yes,100,5000,discounted,1,0,Tesla_Model_3.jpg
22,3,2,87,38000,5,Gas,Tesla,No,250,47000,NA,0,1,Tesla_Model_3.jpg
22,4,1,88,46000,1,Electric,Tesla,No,200,32000,paid,1,0,Tesla_Model_3.jpg
22,4,2,88,30000,4,Gas,Mercedes,Yes,100,26000,NA,0,1,MB_C300.jpg
23,1,1,89,16000,2,Electric,Mercedes,Yes,200,18000,discounted,1,0,MB_EQ.jpg
23,1,2,89,20000,3,Gas,Tesla,Yes,100,48000,NA,0,1,Tesla_Model_3.jpg
23,2,1,90,5000,4,Electric,Tesla,Yes,200,49000,paid,1,0,Tesla_Model_3.jpg
23,2,2,90,7000,1,Gas,Nissan,No,200,6000,NA,0,1,Nissan_Gas.jpg
23,3,1,91,28000,5,Electric,Nissan,No,200,25000,discounted,1,0,Nissan_Leaf.jpg
23,3,2,91,23000,1,Gas,Mercedes,No,150,26000,NA,0,1,MB_C300.jpg
23,4,1,92,42000,4,Electric,Tesla,Yes,200,35000,discounted,1,0,Tesla_Model_3.jpg
23,4,2,92,49000,1,Gas,Tesla,No,100,37000,NA,0,1,Tesla_Model_3.jpg
24,1,1,93,38000,2,Electric,Nissan,Yes,150,22000,paid,1,0,Nissan_Leaf.jpg
24,1,2,93,26000,4,Gas,Mercedes,No,150,7000,NA,0,1,MB_C300.jpg
24,2,1,94,20000,4,Electric,Tesla,No,100,16000,discounted,1,0,Tesla_Model_3.jpg
24,2,2,94,22000,5,Gas,Tesla,Yes,150,12000,NA,0,1,Tesla_Model_3.jpg
24,3,1,95,43000,4,Electric,Nissan,Yes,150,6000,paid,1,0,Nissan_Leaf.jpg
24,3,2,95,50000,2,Gas,Nissan,No,150,14000,NA,0,1,Nissan_Gas.jpg
24,4,1,96,37000,5,Electric,Nissan,No,250,25000,discounted,1,0,Nissan_Leaf.jpg
24,4,2,96,32000,5,Gas,Mercedes,No,250,37000,NA,0,1,MB_C300.jpg
25,1,1,97,24000,3,Electric,Mercedes,No,150,14000,free,1,0,MB_EQ.jpg
25,1,2,97,14000,5,Gas,Mercedes,No,250,13000,NA,0,1,MB_C300.jpg
25,2,1,98,43000,5,Electric,Mercedes,No,250,10000,free,1,0,MB_EQ.jpg
25,2,2,98,12000,2,Gas,Tesla,No,250,24000,NA,0,1,Tesla_Model_3.jpg
25,3,1,99,26000,4,Electric,Nissan,No,150,46000,discounted,1,0,Nissan_Leaf.jpg
25,3,2,99,7000,1,Gas,Mercedes,Yes,100,39000,NA,0,1,MB_C300.jpg
25,4,1,100,20000,3,Electric,Tesla,No,200,49000,discounted,1,0,Tesla_Model_3.jpg
25,4,2,100,33000,4,Gas,Nissan,No,250,5000,NA,0,1,Nissan_Gas.jpg
26,1,1,101,27000,3,Electric,Mercedes,Yes,250,18000,free,1,0,MB_EQ.jpg
26,1,2,101,47000,2,Gas,Tesla,Yes,250,39000,NA,0,1,Tesla_Model_3.jpg
26,2,1,102,41000,3,Electric,Tesla,No,200,28000,paid,1,0,Tesla_Model_3.jpg
26,2,2,102,46000,1,Gas,Nissan,Yes,150,26000,NA,0,1,Nissan_Gas.jpg
26,3,1,103,22000,1,Electric,Mercedes,No,100,24000,free,1,0,MB_EQ.jpg
26,3,2,103,9000,2,Gas,Nissan,Yes,150,28000,NA,0,1,Nissan_Gas.jpg
26,4,1,104,5000,3,Electric,Nissan,No,150,24000,discounted,1,0,Nissan_Leaf.jpg
26,4,2,104,30000,3,Gas,Nissan,Yes,200,12000,NA,0,1,Nissan_Gas.jpg
27,1,1,105,26000,2,Electric,Mercedes,Yes,100,23000,discounted,1,0,MB_EQ.jpg
27,1,2,105,9000,5,Gas,Mercedes,No,250,50000,NA,0,1,MB_C300.jpg
27,2,1,106,48000,4,Electric,Nissan,Yes,100,13000,discounted,1,0,Nissan_Leaf.jpg
27,2,2,106,43000,1,Gas,Tesla,No,200,29000,NA,0,1,Tesla_Model_3.jpg
27,3,1,107,9000,1,Electric,Tesla,Yes,250,45000,discounted,1,0,Tesla_Model_3.jpg
27,3,2,107,20000,3,Gas,Nissan,Yes,100,23000,NA,0,1,Nissan_Gas.jpg
27,4,1,108,19000,2,Electric,Tesla,No,100,44000,free,1,0,Tesla_Model_3.jpg
27,4,2,108,15000,2,Gas,Tesla,No,250,31000,NA,0,1,Tesla_Model_3.jpg
28,1,1,109,43000,2,Electric,Nissan,No,250,38000,discounted,1,0,Nissan_Leaf.jpg
28,1,2,109,42000,1,Gas,Nissan,Yes,200,13000,NA,0,1,Nissan_Gas.jpg
28,2,1,110,28000,2,Electric,Nissan,Yes,200,27000,paid,1,0,Nissan_Leaf.jpg
28,2,2,110,37000,2,Gas,Nissan,No,150,48000,NA,0,1,Nissan_Gas.jpg
28,3,1,111,6000,1,Electric,Nissan,No,250,37000,free,1,0,Nissan_Leaf.jpg
28,3,2,111,47000,3,Gas,Tesla,Yes,150,5000,NA,0,1,Tesla_Model_3.jpg
28,4,1,112,46000,3,Electric,Mercedes,No,150,18000,discounted,1,0,MB_EQ.jpg
28,4,2,112,25000,4,Gas,Nissan,Yes,100,21000,NA,0,1,Nissan_Gas.jpg
29,1,1,113,30000,2,Electric,Tesla,Yes,250,27000,paid,1,0,Tesla_Model_3.jpg
29,1,2,113,34000,5,Gas,Tesla,No,250,45000,NA,0,1,Tesla_Model_3.jpg
29,2,1,114,29000,5,Electric,Mercedes,No,250,6000,paid,1,0,MB_EQ.jpg
29,2,2,114,29000,1,Gas,Mercedes,No,150,40000,NA,0,1,MB_C300.jpg
29,3,1,115,33000,1,Electric,Mercedes,Yes,150,5000,paid,1,0,MB_EQ.jpg
29,3,2,115,24000,5,Gas,Mercedes,No,150,34000,NA,0,1,MB_C300.jpg
29,4,1,116,48000,2,Electric,Mercedes,No,200,20000,paid,1,0,MB_EQ.jpg
29,4,2,116,5000,3,Gas,Nissan,Yes,150,13000,NA,0,1,Nissan_Gas.jpg
30,1,1,117,30000,4,Electric,Tesla,No,250,36000,free,1,0,Tesla_Model_3.jpg
30,1,2,117,21000,1,Gas,Nissan,No,250,13000,NA,0,1,Nissan_Gas.jpg
30,2,1,118,35000,1,Electric,Nissan,Yes,250,34000,free,1,0,Nissan_Leaf.jpg
30,2,2,118,24000,5,Gas,Nissan,No,100,17000,NA,0,1,Nissan_Gas.jpg
30,3,1,119,6000,4,Electric,Mercedes,Yes,150,44000,discounted,1,0,MB_EQ.jpg
30,3,2,119,27000,4,Gas,Tesla,No,150,23000,NA,0,1,Tesla_Model_3.jpg
30,4,1,120,23000,3,Electric,Nissan,No,200,50000,discounted,1,0,Nissan_Leaf.jpg
30,4,2,120,41000,4,Gas,Nissan,No,100,20000,NA,0,1,Nissan_Gas.jpg
31,1,1,121,18000,4,Electric,Mercedes,Yes,250,46000,discounted,1,0,MB_EQ.jpg
31,1,2,121,42000,2,Gas,Nissan,Yes,100,30000,NA,0,1,Nissan_Gas.jpg
31,2,1,122,8000,2,Electric,Tesla,Yes,100,42000,free,1,0,Tesla_Model_3.jpg
31,2,2,122,48000,5,Gas,Tesla,Yes,250,34000,NA,0,1,Tesla_Model_3.jpg
31,3,1,123,15000,2,Electric,Mercedes,No,200,28000,discounted,1,0,MB_EQ.jpg
31,3,2,123,10000,3,Gas,Mercedes,Yes,150,39000,NA,0,1,MB_C300.jpg
31,4,1,124,35000,3,Electric,Tesla,Yes,150,24000,free,1,0,Tesla_Model_3.jpg
31,4,2,124,19000,5,Gas,Mercedes,Yes,150,44000,NA,0,1,MB_C300.jpg
32,1,1,125,25000,2,Electric,Tesla,No,250,50000,paid,1,0,Tesla_Model_3.jpg
32,1,2,125,33000,3,Gas,Nissan,No,200,31000,NA,0,1,Nissan_Gas.jpg
32,2,1,126,23000,3,Electric,Tesla,No,150,47000,paid,1,0,Tesla_Model_3.jpg
32,2,2,126,19000,2,Gas,Tesla,No,250,11000,NA,0,1,Tesla_Model_3.jpg
32,3,1,127,6000,1,Electric,Nissan,No,100,14000,paid,1,0,Nissan_Leaf.jpg
32,3,2,127,37000,5,Gas,Nissan,No,250,40000,NA,0,1,Nissan_Gas.jpg
32,4,1,128,5000,4,Electric,Tesla,Yes,100,33000,free,1,0,Tesla_Model_3.jpg
32,4,2,128,30000,1,Gas,Nissan,No,100,28000,NA,0,1,Nissan_Gas.jpg
33,1,1,129,24000,3,Electric,Tesla,Yes,200,6000,free,1,0,Tesla_Model_3.jpg
33,1,2,129,49000,2,Gas,Tesla,No,100,6000,NA,0,1,Tesla_Model_3.jpg
33,2,1,130,17000,2,Electric,Tesla,Yes,150,11000,discounted,1,0,Tesla_Model_3.jpg
33,2,2,130,36000,1,Gas,Tesla,No,100,19000,NA,0,1,Tesla_Model_3.jpg
33,3,1,131,29000,4,Electric,Mercedes,Yes,150,35000,paid,1,0,MB_EQ.jpg
33,3,2,131,8000,4,Gas,Mercedes,No,150,30000,NA,0,1,MB_C300.jpg
33,4,1,132,7000,5,Electric,Nissan,No,200,13000,free,1,0,Nissan_Leaf.jpg
33,4,2,132,17000,2,Gas,Nissan,No,200,32000,NA,0,1,Nissan_Gas.jpg
34,1,1,133,23000,1,Electric,Nissan,Yes,250,45000,free,1,0,Nissan_Leaf.jpg
34,1,2,133,41000,1,Gas,Tesla,Yes,200,12000,NA,0,1,Tesla_Model_3.jpg
34,2,1,134,31000,1,Electric,Tesla,No,250,25000,paid,1,0,Tesla_Model_3.jpg
34,2,2,134,14000,1,Gas,Tesla,No,200,6000,NA,0,1,Tesla_Model_3.jpg
34,3,1,135,13000,1,Electric,Nissan,No,250,21000,paid,1,0,Nissan_Leaf.jpg
34,3,2,135,24000,3,Gas,Mercedes,No,100,43000,NA,0,1,MB_C300.jpg
34,4,1,136,29000,4,Electric,Mercedes,No,250,28000,free,1,0,MB_EQ.jpg
34,4,2,136,35000,4,Gas,Tesla,Yes,150,30000,NA,0,1,Tesla_Model_3.jpg
35,1,1,137,38000,5,Electric,Mercedes,No,150,7000,discounted,1,0,MB_EQ.jpg
35,1,2,137,16000,4,Gas,Mercedes,Yes,200,41000,NA,0,1,MB_C300.jpg
35,2,1,138,32000,2,Electric,Tesla,No,250,32000,discounted,1,0,Tesla_Model_3.jpg
35,2,2,138,16000,1,Gas,Tesla,Yes,200,24000,NA,0,1,Tesla_Model_3.jpg
35,3,1,139,26000,5,Electric,Tesla,Yes,200,7000,paid,1,0,Tesla_Model_3.jpg
