respID,qID,altID,obsID,price,fuelEconomy,modelyear,powertrain,Warranty,range,Mileage,ChargingStation,powertrain_Electric,powertrain_Gas
4,4,3,16,15000,0,2015,Electric,Yes,150,40000,No Promotion,1,0
5,1,1,17,50000,0,2016,Electric,No,150,20000,Free,1,0
5,1,2,17,40000,30,2020,Gas,No,0,15000,No Promotion,0,1
5,1,3,17,15000,0,2019,Electric,No,100,20000,No Promotion,1,0
5,2,1,18,10000,30,2018,Gas,Yes,0,45000,No Promotion,0,1
5,2,2,18,15000,0,2019,Electric,No,200,45000,Discounted,1,0
5,2,3,18,50000,0,2015,Electric,Yes,200,35000,Discounted,1,0
5,3,1,19,40000,30,2020,Gas,Yes,0,5000,No Promotion,0,1
5,3,2,19,50000,25,2018,Gas,Yes,0,25000,No Promotion,0,1
5,3,3,19,25000,0,2019,Electric,No,150,10000,Discounted,1,0
5,4,1,20,20000,0,2015,Electric,Yes,250,30000,Discounted,1,0
5,4,2,20,40000,15,2015,Gas,Yes,0,25000,No Promotion,0,1
5,4,3,20,20000,25,2015,Gas,No,0,35000,No Promotion,0,1
6,1,1,21,25000,0,2017,Electric,Yes,100,10000,No Promotion,1,0
6,1,2,21,50000,0,2019,Electric,Yes,100,35000,Discounted,1,0
6,1,3,21,50000,25,2020,Gas,Yes,0,25000,No Promotion,0,1
6,2,1,22,40000,0,2020,Electric,Yes,250,45000,No Promotion,1,0
6,2,2,22,35000,25,2017,Gas,No,0,15000,No Promotion,0,1
6,2,3,22,10000,30,2019,Gas,No,0,20000,No Promotion,0,1
6,3,1,23,10000,15,2019,Gas,Yes,0,5000,No Promotion,0,1
6,3,2,23,20000,0,2016,Electric,Yes,200,50000,No Promotion,1,0
6,3,3,23,35000,0,2015,Electric,No,100,50000,Discounted,1,0
6,4,1,24,35000,0,2020,Electric,Yes,250,35000,Discounted,1,0
6,4,2,24,10000,0,2019,Electric,No,250,10000,Free,1,0
6,4,3,24,20000,15,2017,Gas,No,0,25000,No Promotion,0,1
7,1,1,25,30000,20,2019,Gas,No,0,15000,No Promotion,0,1
7,1,2,25,30000,25,2016,Gas,Yes,0,30000,No Promotion,0,1
7,1,3,25,10000,15,2017,Gas,No,0,15000,No Promotion,0,1
7,2,1,26,35000,25,2020,Gas,Yes,0,10000,No Promotion,0,1
7,2,2,26,15000,20,2020,Gas,No,0,5000,No Promotion,0,1
7,2,3,26,30000,20,2017,Gas,No,0,40000,No Promotion,0,1
7,3,1,27,50000,20,2018,Gas,Yes,0,35000,No Promotion,0,1
7,3,2,27,25000,15,2018,Gas,No,0,50000,No Promotion,0,1
7,3,3,27,25000,25,2015,Gas,Yes,0,35000,No Promotion,0,1
7,4,1,28,40000,30,2019,Gas,Yes,0,40000,No Promotion,0,1
7,4,2,28,10000,15,2020,Gas,No,0,35000,No Promotion,0,1
7,4,3,28,50000,0,2019,Electric,Yes,200,5000,Discounted,1,0
8,1,1,29,40000,35,2016,Gas,No,0,15000,No Promotion,0,1
8,1,2,29,50000,20,2016,Gas,No,0,10000,No Promotion,0,1
8,1,3,29,20000,0,2019,Electric,No,200,35000,No Promotion,1,0
8,2,1,30,25000,35,2015,Gas,Yes,0,25000,No Promotion,0,1
8,2,2,30,15000,30,2016,Gas,No,0,10000,No Promotion,0,1
8,2,3,30,50000,20,2019,Gas,Yes,0,15000,No Promotion,0,1
8,3,1,31,25000,25,2018,Gas,Yes,0,50000,No Promotion,0,1
8,3,2,31,45000,0,2019,Electric,No,250,15000,Discounted,1,0
8,3,3,31,30000,0,2015,Electric,No,100,15000,Discounted,1,0
8,4,1,32,30000,30,2020,Gas,No,0,40000,No Promotion,0,1
8,4,2,32,10000,0,2019,Electric,Yes,200,40000,No Promotion,1,0
8,4,3,32,40000,30,2015,Gas,Yes,0,20000,No Promotion,0,1
9,1,1,33,25000,0,2019,Electric,Yes,200,15000,Free,1,0
9,1,2,33,35000,15,2015,Gas,No,0,40000,No Promotion,0,1
9,1,3,33,20000,0,2016,Electric,Yes,250,10000,Free,1,0
9,2,1,34,50000,0,2020,Electric,Yes,200,45000,Free,1,0
9,2,2,34,20000,0,2019,Electric,No,100,15000,No Promotion,1,0
9,2,3,34,40000,0,2015,Electric,No,250,15000,Discounted,1,0
9,3,1,35,30000,20,2018,Gas,No,0,15000,No Promotion,0,1
9,3,2,35,50000,0,2017,Electric,No,150,50000,Free,1,0
9,3,3,35,50000,0,2020,Electric,Yes,200,25000,No Promotion,1,0
9,4,1,36,50000,0,2015,Electric,No,200,50000,No Promotion,1,0
9,4,2,36,30000,35,2016,Gas,Yes,0,10000,No Promotion,0,1
9,4,3,36,25000,0,2016,Electric,No,150,40000,No Promotion,1,0
10,1,1,37,35000,0,2015,Electric,No,100,5000,No Promotion,1,0
10,1,2,37,20000,20,2018,Gas,No,0,25000,No Promotion,0,1
10,1,3,37,30000,0,2016,Electric,No,100,45000,No Promotion,1,0
10,2,1,38,25000,25,2017,Gas,No,0,35000,No Promotion,0,1
10,2,2,38,25000,0,2019,Electric,No,200,20000,Free,1,0
10,2,3,38,45000,30,2017,Gas,No,0,45000,No Promotion,0,1
10,3,1,39,25000,0,2019,Electric,Yes,150,30000,Free,1,0
10,3,2,39,10000,0,2019,Electric,No,150,45000,No Promotion,1,0
10,3,3,39,15000,25,2015,Gas,No,0,50000,No Promotion,0,1
10,4,1,40,50000,35,2018,Gas,No,0,45000,No Promotion,0,1
10,4,2,40,30000,0,2017,Electric,No,150,25000,Discounted,1,0
10,4,3,40,25000,0,2016,Electric,Yes,150,15000,Discounted,1,0
11,1,1,41,15000,25,2017,Gas,Yes,0,35000,No Promotion,0,1
11,1,2,41,50000,0,2019,Electric,Yes,150,5000,Free,1,0
11,1,3,41,45000,20,2017,Gas,No,0,45000,No Promotion,0,1
11,2,1,42,10000,15,2015,Gas,No,0,20000,No Promotion,0,1
11,2,2,42,25000,0,2016,Electric,No,200,30000,Discounted,1,0
11,2,3,42,10000,35,2019,Gas,No,0,45000,No Promotion,0,1
11,3,1,43,45000,30,2018,Gas,Yes,0,45000,No Promotion,0,1
11,3,2,43,45000,25,2018,Gas,Yes,0,35000,No Promotion,0,1
11,3,3,43,25000,30,2018,Gas,No,0,35000,No Promotion,0,1
11,4,1,44,50000,0,2019,Electric,No,200,45000,No Promotion,1,0
11,4,2,44,45000,0,2016,Electric,No,150,10000,Free,1,0
11,4,3,44,10000,25,2017,Gas,Yes,0,30000,No Promotion,0,1
12,1,1,45,25000,30,2019,Gas,No,0,20000,No Promotion,0,1
12,1,2,45,10000,0,2019,Electric,No,150,50000,Free,1,0
12,1,3,45,50000,0,2016,Electric,Yes,150,35000,No Promotion,1,0
12,2,1,46,25000,35,2015,Gas,Yes,0,20000,No Promotion,0,1
12,2,2,46,40000,0,2017,Electric,Yes,200,35000,Free,1,0
12,2,3,46,10000,25,2015,Gas,No,0,5000,No Promotion,0,1
12,3,1,47,15000,25,2019,Gas,No,0,35000,No Promotion,0,1
12,3,2,47,45000,0,2020,Electric,No,250,50000,Free,1,0
12,3,3,47,15000,0,2017,Electric,Yes,100,50000,No Promotion,1,0
12,4,1,48,10000,0,2015,Electric,Yes,150,25000,Free,1,0
12,4,2,48,20000,0,2016,Electric,Yes,250,30000,Free,1,0
12,4,3,48,30000,35,2017,Gas,Yes,0,50000,No Promotion,0,1
13,1,1,49,35000,30,2020,Gas,Yes,0,25000,No Promotion,0,1
13,1,2,49,20000,0,2016,Electric,No,250,5000,Discounted,1,0
13,1,3,49,45000,0,2018,Electric,Yes,200,35000,Discounted,1,0
13,2,1,50,40000,0,2017,Electric,Yes,250,15000,No Promotion,1,0
13,2,2,50,30000,0,2019,Electric,Yes,100,50000,Free,1,0
13,2,3,50,20000,0,2020,Electric,No,250,40000,Discounted,1,0
13,3,1,51,30000,15,2018,Gas,No,0,5000,No Promotion,0,1
13,3,2,51,20000,0,2019,Electric,No,150,10000,Free,1,0
13,3,3,51,50000,0,2015,Electric,Yes,100,50000,No Promotion,1,0
13,4,1,52,50000,35,2017,Gas,No,0,50000,No Promotion,0,1
13,4,2,52,15000,0,2016,Electric,Yes,200,40000,Discounted,1,0
13,4,3,52,20000,0,2015,Electric,Yes,250,15000,No Promotion,1,0
14,1,1,53,10000,0,2015,Electric,Yes,100,50000,No Promotion,1,0
14,1,2,53,20000,30,2019,Gas,Yes,0,40000,No Promotion,0,1
14,1,3,53,30000,35,2015,Gas,Yes,0,5000,No Promotion,0,1
14,2,1,54,50000,15,2018,Gas,No,0,25000,No Promotion,0,1
14,2,2,54,15000,0,2020,Electric,No,250,50000,Free,1,0
14,2,3,54,25000,20,2017,Gas,Yes,0,40000,No Promotion,0,1
14,3,1,55,30000,30,2019,Gas,Yes,0,50000,No Promotion,0,1
14,3,2,55,40000,0,2017,Electric,No,250,15000,No Promotion,1,0
14,3,3,55,50000,15,2020,Gas,Yes,0,20000,No Promotion,0,1
14,4,1,56,40000,0,2016,Electric,No,200,25000,Free,1,0
14,4,2,56,50000,25,2020,Gas,No,0,10000,No Promotion,0,1
14,4,3,56,50000,20,2020,Gas,No,0,5000,No Promotion,0,1
15,1,1,57,50000,0,2016,Electric,No,150,5000,No Promotion,1,0
15,1,2,57,35000,0,2016,Electric,No,100,35000,No Promotion,1,0
15,1,3,57,15000,0,2017,Electric,No,100,5000,Discounted,1,0
15,2,1,58,40000,0,2018,Electric,No,150,10000,Discounted,1,0
15,2,2,58,50000,35,2017,Gas,Yes,0,20000,No Promotion,0,1
15,2,3,58,20000,20,2015,Gas,Yes,0,50000,No Promotion,0,1
15,3,1,59,35000,0,2015,Electric,No,150,45000,Free,1,0
15,3,2,59,10000,0,2020,Electric,Yes,250,30000,Discounted,1,0
15,3,3,59,50000,35,2016,Gas,Yes,0,25000,No Promotion,0,1
15,4,1,60,10000,0,2016,Electric,No,250,10000,Free,1,0
15,4,2,60,50000,0,2018,Electric,Yes,100,25000,Discounted,1,0
15,4,3,60,20000,30,2019,Gas,No,0,5000,No Promotion,0,1
16,1,1,61,35000,35,2016,Gas,No,0,15000,No Promotion,0,1
16,1,2,61,20000,20,2015,Gas,No,0,45000,No Promotion,0,1
16,1,3,61,40000,0,2019,Electric,Yes,250,40000,Discounted,1,0
16,2,1,62,50000,0,2017,Electric,Yes,250,10000,Free,1,0
16,2,2,62,10000,0,2017,Electric,No,250,20000,Free,1,0
16,2,3,62,40000,0,2015,Electric,Yes,250,40000,No Promotion,1,0
16,3,1,63,10000,0,2019,Electric,Yes,250,50000,Free,1,0
16,3,2,63,35000,0,2016,Electric,No,250,10000,Free,1,0
16,3,3,63,15000,35,2020,Gas,No,0,20000,No Promotion,0,1
16,4,1,64,45000,20,2019,Gas,Yes,0,20000,No Promotion,0,1
16,4,2,64,20000,30,2015,Gas,Yes,0,50000,No Promotion,0,1
16,4,3,64,40000,0,2016,Electric,Yes,100,15000,No Promotion,1,0
17,1,1,65,10000,20,2015,Gas,No,0,30000,No Promotion,0,1
17,1,2,65,40000,0,2019,Electric,Yes,200,40000,No Promotion,1,0
17,1,3,65,25000,20,2016,Gas,No,0,45000,No Promotion,0,1
17,2,1,66,20000,35,2020,Gas,No,0,45000,No Promotion,0,1
17,2,2,66,30000,0,2017,Electric,Yes,150,20000,Discounted,1,0
17,2,3,66,35000,0,2017,Electric,No,200,10000,Discounted,1,0
17,3,1,67,45000,15,2018,Gas,Yes,0,40000,No Promotion,0,1
17,3,2,67,30000,35,2018,Gas,No,0,25000,No Promotion,0,1
17,3,3,67,40000,0,2016,Electric,Yes,200,30000,Free,1,0
17,4,1,68,10000,0,2015,Electric,Yes,100,45000,Discounted,1,0
17,4,2,68,30000,30,2015,Gas,No,0,40000,No Promotion,0,1
17,4,3,68,30000,0,2016,Electric,No,150,5000,No Promotion,1,0
18,1,1,69,35000,0,2015,Electric,Yes,200,35000,No Promotion,1,0
18,1,2,69,45000,0,2018,Electric,Yes,150,25000,Discounted,1,0
18,1,3,69,10000,0,2019,Electric,No,150,20000,Discounted,1,0
18,2,1,70,40000,0,2020,Electric,No,100,40000,Discounted,1,0
18,2,2,70,40000,0,2019,Electric,No,100,50000,Discounted,1,0
18,2,3,70,15000,20,2019,Gas,No,0,45000,No Promotion,0,1
18,3,1,71,45000,15,2017,Gas,No,0,20000,No Promotion,0,1
18,3,2,71,25000,0,2016,Electric,No,250,15000,Free,1,0
18,3,3,71,15000,0,2017,Electric,Yes,150,20000,No Promotion,1,0
18,4,1,72,40000,0,2015,Electric,No,100,20000,Discounted,1,0
18,4,2,72,25000,0,2017,Electric,Yes,100,20000,Discounted,1,0
18,4,3,72,30000,0,2016,Electric,No,100,50000,Free,1,0
19,1,1,73,35000,30,2017,Gas,No,0,45000,No Promotion,0,1
19,1,2,73,35000,15,2019,Gas,Yes,0,5000,No Promotion,0,1
19,1,3,73,50000,30,2019,Gas,Yes,0,15000,No Promotion,0,1
19,2,1,74,15000,25,2017,Gas,No,0,30000,No Promotion,0,1
19,2,2,74,40000,35,2020,Gas,No,0,25000,No Promotion,0,1
19,2,3,74,40000,0,2017,Electric,Yes,200,25000,Free,1,0
19,3,1,75,10000,0,2018,Electric,Yes,100,35000,Free,1,0
19,3,2,75,15000,15,2018,Gas,No,0,25000,No Promotion,0,1
19,3,3,75,40000,0,2016,Electric,No,100,20000,No Promotion,1,0
19,4,1,76,30000,0,2016,Electric,No,100,50000,Discounted,1,0
19,4,2,76,15000,0,2017,Electric,Yes,100,10000,Free,1,0
19,4,3,76,40000,0,2018,Electric,No,200,40000,Discounted,1,0
20,1,1,77,20000,0,2016,Electric,Yes,150,20000,Discounted,1,0
20,1,2,77,30000,35,2015,Gas,No,0,40000,No Promotion,0,1
20,1,3,77,50000,0,2020,Electric,Yes,200,15000,No Promotion,1,0
20,2,1,78,20000,0,2016,Electric,Yes,100,40000,Free,1,0
20,2,2,78,20000,0,2015,Electric,No,200,45000,No Promotion,1,0
20,2,3,78,30000,30,2018,Gas,No,0,45000,No Promotion,0,1
20,3,1,79,50000,0,2017,Electric,No,150,10000,No Promotion,1,0
20,3,2,79,20000,0,2018,Electric,Yes,250,10000,Discounted,1,0
20,3,3,79,50000,0,2018,Electric,Yes,100,40000,Discounted,1,0
20,4,1,80,50000,30,2019,Gas,No,0,40000,No Promotion,0,1
20,4,2,80,50000,20,2015,Gas,No,0,40000,No Promotion,0,1
20,4,3,80,45000,0,2017,Electric,No,100,45000,No Promotion,1,0
21,1,1,81,15000,15,2017,Gas,Yes,0,35000,No Promotion,0,1
21,1,2,81,40000,0,2016,Electric,No,150,20000,Free,1,0
21,1,3,81,30000,35,2018,Gas,Yes,0,25000,No Promotion,0,1
21,2,1,82,35000,0,2020,Electric,No,100,5000,No Promotion,1,0
21,2,2,82,25000,25,2017,Gas,Yes,0,20000,No Promotion,0,1
21,2,3,82,40000,30,2020,Gas,No,0,20000,No Promotion,0,1
21,3,1,83,10000,35,2019,Gas,No,0,5000,No Promotion,0,1
21,3,2,83,30000,0,2016,Electric,Yes,250,40000,Free,1,0
21,3,3,83,40000,30,2015,Gas,Yes,0,40000,No Promotion,0,1
21,4,1,84,25000,35,2019,Gas,No,0,25000,No Promotion,0,1
21,4,2,84,20000,15,2018,Gas,Yes,0,40000,No Promotion,0,1
21,4,3,84,10000,20,2020,Gas,No,0,15000,No Promotion,0,1
22,1,1,85,45000,0,2020,Electric,Yes,150,40000,Free,1,0
22,1,2,85,30000,0,2020,Electric,No,100,10000,Free,1,0
22,1,3,85,50000,0,2017,Electric,No,250,40000,Free,1,0
22,2,1,86,30000,0,2016,Electric,No,150,20000,Free,1,0
22,2,2,86,25000,0,2018,Electric,Yes,100,20000,Free,1,0
22,2,3,86,50000,35,2020,Gas,Yes,0,40000,No Promotion,0,1
22,3,1,87,30000,30,2018,Gas,No,0,20000,No Promotion,0,1
22,3,2,87,25000,0,2019,Electric,No,100,50000,No Promotion,1,0
22,3,3,87,15000,0,2015,Electric,Yes,200,35000,Discounted,1,0
22,4,1,88,45000,0,2017,Electric,Yes,100,35000,Free,1,0
22,4,2,88,25000,0,2020,Electric,No,100,15000,Free,1,0
22,4,3,88,25000,0,2018,Electric,No,200,30000,Free,1,0
23,1,1,89,15000,15,2019,Gas,No,0,30000,No Promotion,0,1
23,1,2,89,15000,0,2015,Electric,Yes,250,30000,Discounted,1,0
23,1,3,89,45000,20,2015,Gas,No,0,40000,No Promotion,0,1
23,2,1,90,35000,0,2016,Electric,No,250,20000,No Promotion,1,0
23,2,2,90,15000,0,2020,Electric,No,150,35000,Free,1,0
23,2,3,90,40000,35,2017,Gas,No,0,10000,No Promotion,0,1
23,3,1,91,15000,0,2017,Electric,Yes,250,35000,Free,1,0
23,3,2,91,25000,15,2019,Gas,Yes,0,30000,No Promotion,0,1
23,3,3,91,45000,15,2018,Gas,Yes,0,40000,No Promotion,0,1
23,4,1,92,30000,35,2020,Gas,Yes,0,40000,No Promotion,0,1
23,4,2,92,50000,30,2015,Gas,No,0,35000,No Promotion,0,1
23,4,3,92,15000,0,2018,Electric,Yes,100,5000,Discounted,1,0
24,1,1,93,15000,0,2015,Electric,Yes,200,15000,Discounted,1,0
24,1,2,93,25000,0,2015,Electric,Yes,250,5000,Discounted,1,0
24,1,3,93,45000,0,2016,Electric,Yes,250,45000,Discounted,1,0
24,2,1,94,40000,0,2016,Electric,No,200,35000,Discounted,1,0
24,2,2,94,20000,35,2017,Gas,No,0,40000,No Promotion,0,1
24,2,3,94,30000,25,2017,Gas,No,0,45000,No Promotion,0,1
24,3,1,95,50000,15,2016,Gas,Yes,0,30000,No Promotion,0,1
24,3,2,95,50000,0,2019,Electric,Yes,200,45000,Discounted,1,0
24,3,3,95,20000,30,2017,Gas,Yes,0,25000,No Promotion,0,1
24,4,1,96,35000,0,2015,Electric,Yes,200,30000,No Promotion,1,0
24,4,2,96,15000,0,2016,Electric,No,150,30000,No Promotion,1,0
24,4,3,96,15000,0,2020,Electric,Yes,250,40000,Free,1,0
25,1,1,97,35000,0,2017,Electric,Yes,250,5000,Free,1,0
25,1,2,97,10000,30,2018,Gas,No,0,30000,No Promotion,0,1
25,1,3,97,20000,0,2017,Electric,No,200,15000,No Promotion,1,0
25,2,1,98,30000,30,2019,Gas,No,0,20000,No Promotion,0,1
25,2,2,98,20000,30,2016,Gas,No,0,25000,No Promotion,0,1
25,2,3,98,25000,0,2019,Electric,Yes,200,30000,Discounted,1,0
25,3,1,99,40000,0,2019,Electric,Yes,150,15000,Free,1,0
25,3,2,99,15000,35,2018,Gas,No,0,20000,No Promotion,0,1
25,3,3,99,40000,0,2015,Electric,Yes,100,10000,Free,1,0
25,4,1,100,35000,0,2019,Electric,No,150,10000,Free,1,0
25,4,2,100,50000,20,2015,Gas,Yes,0,50000,No Promotion,0,1
25,4,3,100,50000,25,2019,Gas,Yes,0,40000,No Promotion,0,1
26,1,1,101,35000,0,2018,Electric,Yes,100,30000,Discounted,1,0
26,1,2,101,50000,0,2016,Electric,No,200,10000,No Promotion,1,0
26,1,3,101,10000,0,2019,Electric,No,250,25000,Free,1,0
26,2,1,102,20000,0,2018,Electric,Yes,200,20000,Discounted,1,0
26,2,2,102,20000,20,2017,Gas,No,0,15000,No Promotion,0,1
26,2,3,102,25000,0,2019,Electric,Yes,200,10000,Discounted,1,0
26,3,1,103,50000,0,2019,Electric,No,150,50000,No Promotion,1,0
26,3,2,103,10000,20,2018,Gas,No,0,5000,No Promotion,0,1
26,3,3,103,15000,20,2018,Gas,Yes,0,5000,No Promotion,0,1
26,4,1,104,25000,30,2017,Gas,Yes,0,50000,No Promotion,0,1
26,4,2,104,45000,35,2020,Gas,No,0,5000,No Promotion,0,1
26,4,3,104,15000,35,2018,Gas,Yes,0,10000,No Promotion,0,1
27,1,1,105,20000,0,2019,Electric,No,250,15000,Discounted,1,0
27,1,2,105,25000,0,2019,Electric,Yes,150,20000,Discounted,1,0
27,1,3,105,10000,0,2020,Electric,No,150,25000,No Promotion,1,0
27,2,1,106,35000,35,2016,Gas,No,0,5000,No Promotion,0,1
27,2,2,106,35000,15,2017,Gas,Yes,0,50000,No Promotion,0,1
27,2,3,106,15000,20,2020,Gas,Yes,0,45000,No Promotion,0,1
27,3,1,107,45000,35,2020,Gas,Yes,0,45000,No Promotion,0,1
27,3,2,107,25000,0,2017,Electric,No,250,5000,Discounted,1,0
27,3,3,107,30000,0,2016,Electric,No,100,45000,Discounted,1,0
27,4,1,108,15000,0,2018,Electric,No,100,45000,No Promotion,1,0
27,4,2,108,50000,0,2020,Electric,Yes,200,15000,Free,1,0
27,4,3,108,20000,25,2020,Gas,Yes,0,20000,No Promotion,0,1
28,1,1,109,15000,0,2018,Electric,Yes,200,15000,Free,1,0
28,1,2,109,10000,35,2018,Gas,No,0,30000,No Promotion,0,1
28,1,3,109,25000,15,2016,Gas,No,0,40000,No Promotion,0,1
28,2,1,110,20000,0,2018,Electric,No,150,50000,No Promotion,1,0
28,2,2,110,25000,25,2015,Gas,Yes,0,15000,No Promotion,0,1
28,2,3,110,25000,0,2016,Electric,No,100,5000,Discounted,1,0
28,3,1,111,50000,0,2015,Electric,No,200,10000,Free,1,0
28,3,2,111,35000,15,2020,Gas,No,0,20000,No Promotion,0,1
28,3,3,111,30000,25,2019,Gas,Yes,0,10000,No Promotion,0,1
28,4,1,112,50000,15,2017,Gas,Yes,0,25000,No Promotion,0,1
28,4,2,112,45000,0,2017,Electric,No,250,35000,Discounted,1,0
28,4,3,112,40000,0,2018,Electric,No,200,20000,Discounted,1,0
29,1,1,113,25000,15,2018,Gas,No,0,10000,No Promotion,0,1
29,1,2,113,25000,0,2017,Electric,No,200,30000,No Promotion,1,0
29,1,3,113,20000,0,2015,Electric,Yes,200,30000,No Promotion,1,0
29,2,1,114,15000,0,2017,Electric,No,200,30000,No Promotion,1,0
29,2,2,114,15000,0,2020,Electric,Yes,250,45000,Free,1,0
29,2,3,114,40000,0,2020,Electric,No,250,40000,Discounted,1,0
29,3,1,115,40000,20,2020,Gas,No,0,25000,No Promotion,0,1
29,3,2,115,40000,30,2017,Gas,Yes,0,15000,No Promotion,0,1
29,3,3,115,50000,25,2017,Gas,Yes,0,15000,No Promotion,0,1
29,4,1,116,50000,35,2016,Gas,No,0,10000,No Promotion,0,1
29,4,2,116,30000,0,2016,Electric,Yes,100,30000,Free,1,0
29,4,3,116,50000,0,2020,Electric,No,200,30000,Discounted,1,0
30,1,1,117,45000,0,2015,Electric,No,250,45000,No Promotion,1,0
30,1,2,117,15000,30,2016,Gas,Yes,0,10000,No Promotion,0,1
30,1,3,117,20000,0,2016,Electric,No,150,20000,Discounted,1,0
30,2,1,118,20000,15,2019,Gas,Yes,0,35000,No Promotion,0,1
30,2,2,118,10000,0,2020,Electric,No,100,5000,No Promotion,1,0
30,2,3,118,50000,35,2020,Gas,Yes,0,25000,No Promotion,0,1
30,3,1,119,30000,0,2019,Electric,Yes,200,5000,No Promotion,1,0
30,3,2,119,10000,0,2019,Electric,Yes,250,5000,Discounted,1,0
30,3,3,119,25000,30,2018,Gas,No,0,20000,No Promotion,0,1
30,4,1,120,25000,20,2015,Gas,No,0,5000,No Promotion,0,1
30,4,2,120,20000,0,2015,Electric,No,250,30000,Free,1,0
30,4,3,120,35000,0,2016,Electric,Yes,250,25000,Free,1,0
31,1,1,121,20000,15,2017,Gas,No,0,50000,No Promotion,0,1
31,1,2,121,20000,15,2019,Gas,No,0,50000,No Promotion,0,1
31,1,3,121,35000,0,2019,Electric,Yes,150,45000,Discounted,1,0
31,2,1,122,10000,15,2020,Gas,Yes,0,50000,No Promotion,0,1
31,2,2,122,35000,25,2016,Gas,Yes,0,25000,No Promotion,0,1
31,2,3,122,45000,0,2017,Electric,Yes,100,25000,Free,1,0
31,3,1,123,35000,0,2020,Electric,Yes,250,40000,No Promotion,1,0
31,3,2,123,50000,30,2019,Gas,No,0,20000,No Promotion,0,1
31,3,3,123,35000,30,2019,Gas,Yes,0,15000,No Promotion,0,1
31,4,1,124,20000,25,2015,Gas,No,0,10000,No Promotion,0,1
31,4,2,124,35000,15,2015,Gas,Yes,0,30000,No Promotion,0,1
31,4,3,124,15000,0,2019,Electric,Yes,200,5000,No Promotion,1,0
